ID,PSD,PNL,USR,PMP,AUR,UDMR,REPER
Ans_1,3,4,4,4,2,5,4
Ans_2,3,4,6,4,2,6,3
Ans_3,5,5,5,5,3,5,5
Ans_4,3,3,4,2,1,3,3
Ans_5,2,4,5,3,2,4,5
Ans_6,1,2,2,2,3,2,1
Ans_7,1,1,1,1,5,1,1
Ans_8,3,3,5,3,1,3,4
Ans_9,5,2,2,2,2,3,3
Ans_10,2,4,4,5,2,4,4
Ans_11,2,4,5,5,3,3,4
Ans_12,3,4,5,5,5,3,4
Ans_13,5,2,4,3,4,2,2
Ans_14,4,5,5,5,1,3,4
Ans_15,4,3,3,4,2,2,4
Ans_16,2,2,1,3,4,2,1
Ans_17,2,2,1,3,5,2,1
Ans_18,2,1,4,1,1,1,4
Ans_19,2,2,2,2,2,2,3
Ans_20,2,3,2,5,5,3,2
Ans_21,4,4,4,1,1,3,5
Ans_22,4,3,2,3,2,6,2
Ans_23,3,2,3,2,1,4,3
Ans_24,5,5,5,5,1,4,4
